_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
68866190debff78a43093eeb,,114.7,100,114.7,69.82,51;0;0;0,words,10,-1,4,5.34,0,7.49,false,false,english,,normal,false,false,false,,1753637264000
6886617edebff78a43093e48,,112.56,92.98,125.8,76.66,51;2;1;0,words,10,-1,3,5.44,0,6.11,false,false,english,,normal,false,false,false,,1753637246000
6886616cdebff78a43093daa,,88.28,93.33,92.7,54.67,40;0;0;2,words,10,-1,1,5.44,0,0.9,false,false,english,,normal,false,false,false,,1753637228000
68866163debff78a43093d56,,130.37,100,130.37,88.59,54;0;0;0,words,10,-1,7,4.97,0,15.33,false,false,english,,normal,false,false,false,,1753637219000
68866146debff78a43093c4e,,115.33,100,115.33,75.96,60;0;0;0,words,10,-1,6,6.24,0,10.74,false,false,english,,normal,false,false,false,,1753637190000
6886612cdebff78a43093b54,,85.33,80.36,111.74,86.75,42;7;1;1,words,10,-1,3,5.91,0,1.95,false,false,english,,normal,false,false,false,,1753637164000
68841bffdebff78a43f79de5,,87.14,91.54,101.53,82.8,109;4;1;1,time,15,-1,31,15.01,0,94.01,false,false,english,,normal,false,false,false,,1753488383000
6884073adebff78a43f73374,,105.58,95.65,109.58,90.12,132;4;0;0,time,15,-1,8,15,0,32.81,false,false,english,,normal,false,false,false,,1753483066000
6882bc50debff78a43eb896b,,89.4,93.18,99.8,77.16,447;11;3;2,time,60,-1,5,60,0,34.83,false,false,english,,normal,false,false,false,,1753398352000
6882bbd3debff78a43eb8679,,104.78,96.5,114.38,86.81,131;2;1;0,time,15,-1,5,15,0,23.57,false,false,english,,normal,false,false,false,,1753398227000
6882bba7debff78a43eb8563,,84.76,87.41,106.35,84.29,106;10;0;2,time,15,-1,16,15.01,0,65.34,false,false,english,,normal,false,false,false,,1753398183000
68814bbbdebff78a43de7faf,,81.59,88.28,98.39,74.73,102;7;0;1,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1753303995000
687fb06adebff78a43cf0eb1,,95.85,98,106.5,87.71,45;0;0;1,words,10,-1,0,5.63,0,0,false,false,english,,normal,false,false,false,,1753198698000
687f27fadebff78a43c9204a,,93.83,94.34,105.81,62.75,47;2;0;0,words,10,-1,2,6.01,0,1.74,false,false,english,,normal,false,false,false,,1753163770000
687f27efdebff78a43c91fdf,,107.53,100,107.53,62.49,55;0;0;0,words,10,-1,0,6.14,0,0,false,false,english,,normal,false,false,false,,1753163759000
687e6be7debff78a43c30412,,93.48,94.74,111.38,56.29,47;1;0;0,words,10,-1,5,6.03,0,6.72,false,false,english,,normal,false,false,false,,1753115623000
